S_H1N1,E_H1N1,I_H1N1,R_H1N1,beta_H1N1,S_H3N2,E_H3N2,I_H3N2,R_H3N2,beta_H3N2,S_B,E_B,I_B,R_B,beta_B
155960.0,30.0,10.0,44000.0,-0.0,148000.0,0.0,0.0,51985.0,,120000.0,0.0,0.0,79985.0,
155939.0,51.0,10.0,44000.0,1.3466804327333123e-05,148000.0,0.0,0.0,51979.0,,120000.0,0.0,0.0,79979.0,
155918.0,42.0,40.0,44000.0,3.3671545299452276e-06,148000.0,0.0,0.0,51975.0,,120000.0,0.0,0.0,79967.0,
155915.0,24.0,61.0,44000.0,3.1543038109772925e-07,148000.0,0.0,0.0,51973.0,,120000.0,0.0,0.0,79967.0,
155875.0,43.0,82.0,44000.0,3.1294619281397306e-06,148000.0,0.0,0.0,51959.0,,120000.0,0.0,0.0,79950.0,
155826.0,89.0,85.0,44000.0,3.6994505938373193e-06,148000.0,0.0,0.0,51946.0,,120000.0,0.0,0.0,79939.0,
155807.0,68.0,115.0,44010.0,1.0603977440317048e-06,147995.0,0.0,0.0,51954.0,,119993.0,0.0,0.0,79943.0,
155780.0,46.0,164.0,44010.0,1.0568375037967865e-06,147995.0,0.0,0.0,51949.0,,119993.0,0.0,0.0,79932.0,
155750.0,57.0,153.0,44040.0,1.2589305385075379e-06,147975.0,0.0,0.0,51971.0,,119975.0,0.0,0.0,79949.0,
155642.0,138.0,159.0,44061.0,4.364151598018966e-06,147960.0,0.0,0.0,51962.0,,119960.0,0.0,0.0,79928.0,
155588.0,162.0,168.0,44082.0,2.0658956438065367e-06,147943.0,0.0,0.0,51970.0,,119951.0,0.0,0.0,79927.0,
155547.0,95.0,273.0,44085.0,9.655162117118954e-07,147942.0,0.0,0.0,51961.0,,119948.0,0.0,0.0,79912.0,
155393.0,195.0,287.0,44125.0,3.453085826605179e-06,147916.0,0.0,0.0,51955.0,,119925.0,0.0,0.0,79887.0,
155176.0,371.0,279.0,44174.0,5.01222984081158e-06,147880.0,0.0,0.0,51959.0,,119887.0,0.0,0.0,79849.0,
155085.0,308.0,414.0,44193.0,1.4173309042462143e-06,147863.0,0.0,0.0,51957.0,,119874.0,0.0,0.0,79832.0,
155063.0,113.0,604.0,44220.0,2.3489704868087582e-07,147841.0,0.0,0.0,51980.0,,119858.0,0.0,0.0,79849.0,
154392.0,693.0,665.0,44250.0,6.535458808688128e-06,147819.0,0.0,0.0,51837.0,,119841.0,0.0,0.0,79626.0,
154344.0,719.0,579.0,44358.0,5.371219769096633e-07,147741.0,0.0,0.0,51929.0,,119775.0,0.0,0.0,79716.0,
153439.0,953.0,1196.0,44412.0,4.931529553833786e-06,147700.0,0.0,0.0,51745.0,,119743.0,0.0,0.0,79411.0,
152592.0,1752.0,1203.0,44453.0,4.6140895358681345e-06,147671.0,0.0,0.0,51559.0,,119720.0,0.0,0.0,79104.0,
152284.0,1155.0,1954.0,44607.0,1.0350751479344188e-06,147563.0,0.0,0.0,51640.0,,119631.0,0.0,0.0,79127.0,
151371.0,1221.0,2584.0,44824.0,2.3341866894888256e-06,147391.0,0.0,0.0,51627.0,,119501.0,0.0,0.0,78987.0,
151110.0,1174.0,2801.0,44915.0,6.166435496214128e-07,147321.0,0.0,0.0,51651.0,,119446.0,0.0,0.0,78979.0,
148417.0,2954.0,3692.0,44937.0,4.914632092320537e-06,147303.0,0.0,0.0,50939.0,,119434.0,0.0,0.0,77933.0,
148371.0,2739.0,3282.0,45608.0,9.446484823558824e-08,146805.0,0.0,0.0,51596.0,,119016.0,0.0,0.0,78586.0,
147642.0,775.0,5927.0,45656.0,8.330722754513505e-07,146773.0,0.0,0.0,51437.0,,118986.0,0.0,0.0,78363.0,
145015.0,3356.0,5068.0,46561.0,3.5744608081666757e-06,146106.0,0.0,0.0,51671.0,,118440.0,0.0,0.0,78209.0,
144707.0,2935.0,4950.0,47408.0,4.2998764553354175e-07,145486.0,0.0,0.0,52445.0,,117941.0,0.0,0.0,78940.0,
138516.0,6499.0,7269.0,47716.0,6.148740908886442e-06,145251.0,0.0,0.0,51126.0,,117764.0,0.0,0.0,76733.0,
137242.0,7465.0,6664.0,48629.0,1.392988083737014e-06,144568.0,0.0,0.0,51700.0,,117208.0,0.0,0.0,77129.0,
128688.0,9828.0,12594.0,48890.0,5.277977148829488e-06,144374.0,0.0,0.0,49720.0,,117046.0,0.0,0.0,74016.0,
122931.0,14311.0,11175.0,51583.0,4.190706861856646e-06,142415.0,0.0,0.0,50868.0,,115421.0,0.0,0.0,74430.0,
113480.0,15208.0,19683.0,51629.0,4.231234972086922e-06,142383.0,0.0,0.0,48523.0,,115393.0,0.0,0.0,70730.0,
109025.0,13906.0,24711.0,52358.0,1.6536031553420694e-06,141861.0,0.0,0.0,48086.0,,114935.0,0.0,0.0,69675.0,
104317.0,9163.0,31535.0,54985.0,1.4311611219171764e-06,139905.0,0.0,0.0,49517.0,,113367.0,0.0,0.0,70380.0,
81683.0,27342.0,35682.0,55293.0,7.76569702617302e-06,139670.0,0.0,0.0,43871.0,,113175.0,0.0,0.0,61651.0,
81327.0,22990.0,34199.0,61484.0,1.279976035166893e-07,135106.0,0.0,0.0,49964.0,,109499.0,0.0,0.0,67706.0,
76173.0,5510.0,55559.0,62758.0,1.2178363526786849e-06,134171.0,0.0,0.0,49942.0,,108742.0,0.0,0.0,66942.0,
60313.0,21014.0,47361.0,71312.0,5.5522803694562835e-06,127858.0,0.0,0.0,54388.0,,103562.0,0.0,0.0,69159.0,
39926.0,36247.0,46758.0,77069.0,1.0920476631715206e-05,123646.0,0.0,0.0,54851.0,,100084.0,0.0,0.0,66704.0,
33809.0,26504.0,53167.0,86520.0,3.403016066826041e-06,116586.0,0.0,0.0,62687.0,,94379.0,0.0,0.0,73663.0,
20651.0,19275.0,69099.0,90975.0,9.22097900210477e-06,113297.0,0.0,0.0,63686.0,,91708.0,0.0,0.0,72829.0,
