S_H1N1,E_H1N1,I_H1N1,R_H1N1,beta_H1N1,S_H3N2,E_H3N2,I_H3N2,R_H3N2,beta_H3N2,S_B,E_B,I_B,R_B,beta_B
311975.0,15.0,10.0,88000.0,-0.0,296000.0,0.0,0.0,103992.0,,240000.0,0.0,0.0,159991.0,
311951.0,39.0,10.0,88000.0,7.693515968854082e-06,296000.0,0.0,0.0,103984.0,,240000.0,0.0,0.0,159983.0,
311919.0,56.0,25.0,88000.0,4.103629467906732e-06,296000.0,0.0,0.0,103972.0,,240000.0,0.0,0.0,159968.0,
311905.0,46.0,49.0,88000.0,9.160298350917289e-07,296000.0,0.0,0.0,103968.0,,240000.0,0.0,0.0,159963.0,
311903.0,16.0,81.0,88000.0,7.916357978182755e-08,296000.0,0.0,0.0,103967.0,,240000.0,0.0,0.0,159962.0,
311898.0,7.0,95.0,88000.0,1.6874612516710086e-07,296000.0,0.0,0.0,103967.0,,240000.0,0.0,0.0,159961.0,
311756.0,147.0,87.0,88010.0,5.235453072421949e-06,295993.0,0.0,0.0,103932.0,,239994.0,0.0,0.0,159920.0,
311742.0,156.0,92.0,88010.0,4.881405554704797e-07,295993.0,0.0,0.0,103929.0,,239994.0,0.0,0.0,159914.0,
311393.0,363.0,219.0,88025.0,5.117672221071357e-06,295983.0,0.0,0.0,103845.0,,239984.0,0.0,0.0,159782.0,
311382.0,360.0,209.0,88049.0,1.6902575918764868e-07,295967.0,0.0,0.0,103867.0,,239968.0,0.0,0.0,159803.0,
310571.0,822.0,526.0,88081.0,4.96448507766995e-06,295947.0,0.0,0.0,103676.0,,239951.0,0.0,0.0,159513.0,
310330.0,1052.0,523.0,88095.0,1.4848808019637887e-06,295937.0,0.0,0.0,103629.0,,239942.0,0.0,0.0,159440.0,
309521.0,1050.0,1332.0,88097.0,1.9622492734171747e-06,295936.0,0.0,0.0,103428.0,,239941.0,0.0,0.0,159120.0,
309048.0,1282.0,1568.0,88102.0,9.760883851871104e-07,295931.0,0.0,0.0,103297.0,,239937.0,0.0,0.0,158928.0,
307997.0,1524.0,2235.0,88244.0,1.5267878745935372e-06,295834.0,0.0,0.0,103155.0,,239846.0,0.0,0.0,158669.0,
