S_H1N1,E_H1N1,I_H1N1,R_H1N1,beta_H1N1,S_H3N2,E_H3N2,I_H3N2,R_H3N2,beta_H3N2,S_B,E_B,I_B,R_B,beta_B
311987.0,3.0,10.0,88000.0,-0.0,296000.0,0.0,0.0,103996.0,,240000.0,0.0,0.0,159995.0,
311963.0,27.0,10.0,88000.0,7.693220029298347e-06,296000.0,0.0,0.0,103989.0,,240000.0,0.0,0.0,159981.0,
311955.0,32.0,13.0,88000.0,1.972671107642498e-06,296000.0,0.0,0.0,103986.0,,240000.0,0.0,0.0,159980.0,
311873.0,90.0,37.0,88000.0,7.106149670590966e-06,296000.0,0.0,0.0,103956.0,,240000.0,0.0,0.0,159954.0,
311871.0,84.0,45.0,88000.0,1.4250906446718175e-07,296000.0,0.0,0.0,103956.0,,240000.0,0.0,0.0,159953.0,
311733.0,140.0,127.0,88000.0,3.4857207072345453e-06,296000.0,0.0,0.0,103919.0,,240000.0,0.0,0.0,159894.0,
311730.0,141.0,119.0,88010.0,8.087153637318655e-08,295993.0,0.0,0.0,103927.0,,239994.0,0.0,0.0,159902.0,
311617.0,116.0,257.0,88010.0,1.4109907866172494e-06,295993.0,0.0,0.0,103894.0,,239994.0,0.0,0.0,159855.0,
311492.0,238.0,257.0,88013.0,1.561456868738839e-06,295991.0,0.0,0.0,103861.0,,239992.0,0.0,0.0,159812.0,
311339.0,278.0,346.0,88037.0,1.4203056211779042e-06,295974.0,0.0,0.0,103847.0,,239982.0,0.0,0.0,159772.0,
311215.0,277.0,463.0,88045.0,8.605580531595164e-07,295969.0,0.0,0.0,103825.0,,239975.0,0.0,0.0,159731.0,
310720.0,619.0,534.0,88127.0,2.983284925768639e-06,295917.0,0.0,0.0,103793.0,,239919.0,0.0,0.0,159614.0,
310131.0,1084.0,656.0,88129.0,2.895118042564389e-06,295915.0,0.0,0.0,103641.0,,239918.0,0.0,0.0,159376.0,
309896.0,824.0,1013.0,88267.0,7.485872851882596e-07,295814.0,0.0,0.0,103721.0,,239839.0,0.0,0.0,159419.0,
307428.0,2703.0,1599.0,88270.0,5.020572834666605e-06,295813.0,0.0,0.0,103036.0,,239838.0,0.0,0.0,158449.0,
306950.0,2946.0,1721.0,88383.0,9.048558293017873e-07,295733.0,0.0,0.0,103010.0,,239772.0,0.0,0.0,158367.0,
304332.0,3096.0,4064.0,88508.0,2.116743928952022e-06,295644.0,0.0,0.0,102453.0,,239693.0,0.0,0.0,157453.0,
302502.0,4448.0,4389.0,88661.0,1.3783428525532015e-06,295529.0,0.0,0.0,102141.0,,239604.0,0.0,0.0,156871.0,
295949.0,8383.0,6883.0,88785.0,3.216958968020221e-06,295435.0,0.0,0.0,100539.0,,239529.0,0.0,0.0,154378.0,
293684.0,8818.0,8218.0,89280.0,9.384730007275855e-07,295054.0,0.0,0.0,100394.0,,239233.0,0.0,0.0,153978.0,
291546.0,4403.0,14182.0,89869.0,5.170864203477277e-07,294619.0,0.0,0.0,100426.0,,238884.0,0.0,0.0,153704.0,
290381.0,3303.0,16212.0,90104.0,2.4746918826562233e-07,294442.0,0.0,0.0,100382.0,,238744.0,0.0,0.0,153479.0,
280047.0,11499.0,15882.0,92572.0,2.3234447027649997e-06,292662.0,0.0,0.0,100257.0,,237249.0,0.0,0.0,151870.0,
278403.0,11978.0,16569.0,93050.0,3.5639500157857296e-07,292323.0,0.0,0.0,100329.0,,236966.0,0.0,0.0,151702.0,
272710.0,7337.0,24285.0,95668.0,8.596110956631261e-07,290387.0,0.0,0.0,101425.0,,235387.0,0.0,0.0,152044.0,
259697.0,18706.0,24099.0,97498.0,2.079272814360737e-06,289022.0,0.0,0.0,99863.0,,234292.0,0.0,0.0,148764.0,
243139.0,29571.0,23239.0,104051.0,2.930460124090304e-06,284195.0,0.0,0.0,102108.0,,230356.0,0.0,0.0,148654.0,
230462.0,29235.0,33987.0,106316.0,1.6184688023395744e-06,282570.0,0.0,0.0,101152.0,,228986.0,0.0,0.0,145755.0,
206244.0,36895.0,48407.0,108454.0,2.4257653238613442e-06,280989.0,0.0,0.0,97081.0,,227711.0,0.0,0.0,138272.0,
177722.0,52740.0,59919.0,109619.0,2.6783925411236537e-06,280103.0,0.0,0.0,90866.0,,227006.0,0.0,0.0,128014.0,
173825.0,32419.0,73803.0,119953.0,3.0376948998289415e-07,272362.0,0.0,0.0,100220.0,,220749.0,0.0,0.0,136844.0,
146696.0,31026.0,100681.0,121597.0,1.8368258941794793e-06,271124.0,0.0,0.0,94786.0,,219751.0,0.0,0.0,127528.0,
121643.0,52182.0,98885.0,127290.0,2.082774242787931e-06,266953.0,0.0,0.0,93911.0,,216334.0,0.0,0.0,123213.0,
95595.0,51101.0,113001.0,140303.0,2.4113314965621084e-06,257332.0,0.0,0.0,100186.0,,208431.0,0.0,0.0,125726.0,
86239.0,35404.0,121496.0,156861.0,8.929446123529417e-07,245082.0,0.0,0.0,114316.0,,198536.0,0.0,0.0,138509.0,
45676.0,49919.0,134867.0,169538.0,6.5847047441281655e-06,235626.0,0.0,0.0,116454.0,,191023.0,0.0,0.0,134899.0,
42146.0,44093.0,120005.0,193756.0,6.979414659348621e-07,217617.0,0.0,0.0,139747.0,,176426.0,0.0,0.0,157681.0,
39163.0,6513.0,132046.0,222278.0,5.768355938604951e-07,196475.0,0.0,0.0,167451.0,,159327.0,0.0,0.0,184985.0,
35516.0,6630.0,131679.0,226175.0,7.798214848308949e-07,193558.0,0.0,0.0,170406.0,,156934.0,0.0,0.0,187423.0,
35278.0,3885.0,107533.0,253304.0,6.273808222421107e-08,173507.0,0.0,0.0,197478.0,,140765.0,0.0,0.0,214452.0,
30192.0,5324.0,86127.0,278357.0,1.955893273024814e-06,155022.0,0.0,0.0,221237.0,,125720.0,0.0,0.0,237493.0,
30143.0,5135.0,60317.0,304405.0,2.6950689073870707e-08,135712.0,0.0,0.0,247270.0,,110172.0,0.0,0.0,263516.0,
29690.0,502.0,56047.0,313761.0,2.722297805882655e-07,128784.0,0.0,0.0,256528.0,,104591.0,0.0,0.0,272690.0,
28805.0,1338.0,15533.0,354324.0,1.9779715874550696e-06,98760.0,0.0,0.0,296848.0,,80315.0,0.0,0.0,312926.0,
28722.0,968.0,12456.0,357854.0,2.3199830662479382e-07,96155.0,0.0,0.0,300352.0,,78221.0,0.0,0.0,316418.0,
28141.0,664.0,10358.0,360837.0,1.993245074271159e-06,93990.0,0.0,0.0,303158.0,,76456.0,0.0,0.0,319165.0,
26500.0,2222.0,6794.0,364484.0,9.114590565482306e-06,91285.0,0.0,0.0,306380.0,,74268.0,0.0,0.0,322110.0,
26182.0,1959.0,7137.0,364722.0,1.7018003345739458e-06,91104.0,0.0,0.0,306535.0,,74130.0,0.0,0.0,322211.0,
25486.0,1014.0,3692.0,369808.0,7.396833934021431e-06,87312.0,0.0,0.0,311444.0,,71056.0,0.0,0.0,327015.0,
25214.0,968.0,3961.0,369857.0,2.723468227849437e-06,87278.0,0.0,0.0,311421.0,,71032.0,0.0,0.0,326953.0,
